"la","region"
"guernsey","crown dependencies"
"iom","crown dependencies"
"jersey","crown dependencies"
" north east derbyshire","east midlands"
"amber valley","east midlands"
"ashfield","east midlands"
"bassetlaw","east midlands"
"blaby","east midlands"
"bolsover","east midlands"
"boston","east midlands"
"broxtowe","east midlands"
"charnwood","east midlands"
"chesterfield","east midlands"
"corby","east midlands"
"daventry","east midlands"
"derby","east midlands"
"derbyshire","east midlands"
"derbyshire","east midlands"
"derbyshire dales","east midlands"
"east lindsey","east midlands"
"east northamptonshire","east midlands"
"erewash","east midlands"
"gedling","east midlands"
"harborough","east midlands"
"high peak","east midlands"
"hinckley and bosworth","east midlands"
"kettering","east midlands"
"leicester","east midlands"
"leicestershire","east midlands"
"leicestershire","east midlands"
"lincoln","east midlands"
"lincolnshire","east midlands"
"lincolnshire","east midlands"
"mansfield","east midlands"
"melton","east midlands"
"newark and sherwood","east midlands"
"north kesteven","east midlands"
"north west leicestershire","east midlands"
"northampton","east midlands"
"northamptonshire","east midlands"
"nottingham","east midlands"
"nottinghamshire","east midlands"
"nottinghamshire","east midlands"
"oadby and wigston","east midlands"
"rushcliffe","east midlands"
"rutland","east midlands"
"south derbyshire","east midlands"
"south holland","east midlands"
"south kesteven","east midlands"
"south northamptonshire","east midlands"
"wellingborough","east midlands"
"west lindsey","east midlands"
"babergh","east of england"
"basildon","east of england"
"bedford","east of england"
"bedford borough","east of england"
"bedfordshire","east of england"
"braintree","east of england"
"breckland","east of england"
"brentwood","east of england"
"broadland","east of england"
"broxbourne","east of england"
"cambridge","east of england"
"cambridgeshire","east of england"
"cambridgeshire","east of england"
"castle point","east of england"
"central bedfordshire","east of england"
"chelmsford","east of england"
"colchester","east of england"
"dacorum","east of england"
"east cambridgeshire","east of england"
"east hertfordshire","east of england"
"epping forest","east of england"
"essex","east of england"
"essex","east of england"
"fenland","east of england"
"forest heath","east of england"
"great yarmouth","east of england"
"harlow","east of england"
"hertfordshire","east of england"
"hertsmere","east of england"
"huntingdonshire","east of england"
"ipswich","east of england"
"king's lynn and west norfolk","east of england"
"luton","east of england"
"maldon","east of england"
"mid suffolk","east of england"
"norfolk","east of england"
"north hertfordshire","east of england"
"north norfolk","east of england"
"norwich","east of england"
"peterborough","east of england"
"rochford","east of england"
"south cambridgeshire","east of england"
"south norfolk","east of england"
"southend-on-sea","east of england"
"st albans","east of england"
"st. edmundsbury","east of england"
"stevenage","east of england"
"suffolk","east of england"
"suffolk coastal","east of england"
"tendring","east of england"
"three rivers","east of england"
"thurrock","east of england"
"uttlesford","east of england"
"watford","east of england"
"waveney","east of england"
"welwyn hatfield","east of england"
"barking and dagenham","london"
"barnet","london"
"bexley","london"
"brent","london"
"bromley","london"
"camden","london"
"city of london","london"
"city of london","london"
"city of westminster","london"
"croydon","london"
"ealing","london"
"enfield","london"
"greater london","london"
"greenwich","london"
"hackney","london"
"hammersmith and fulham","london"
"haringey","london"
"harrow","london"
"havering","london"
"hillingdon","london"
"hounslow","london"
"islington","london"
"kensington and chelsea","london"
"kingston upon thames","london"
"lambeth","london"
"lewisham","london"
"merton","london"
"newham","london"
"redbridge","london"
"richmond","london"
"southwark","london"
"sutton","london"
"tower hamlets","london"
"waltham forest","london"
"wandsworth","london"
"westminster","london"
"county durham","north east england"
"darlington","north east england"
"durham","north east england"
"durham","north east england"
"gateshead","north east england"
"hartlepool","north east england"
"middlesbrough","north east england"
"newcastle upon tyne","north east england"
"north tyneside","north east england"
"north yorkshire","north east england"
"northumberland","north east england"
"redcar and cleveland","north east england"
"south tyneside","north east england"
"stockton-on-tees","north east england"
"sunderland","north east england"
"tyne and wear","north east england"
"allerdale","north west england"
"barrow-in-furness","north west england"
"blackburn with darwen","north west england"
"blackpool","north west england"
"bolton","north west england"
"burnley","north west england"
"bury","north west england"
"carlisle","north west england"
"cheshire","north west england"
"cheshire east","north west england"
"cheshire west and chester","north west england"
"chorley","north west england"
"copeland","north west england"
"cumbria","north west england"
"eden","north west england"
"fylde","north west england"
"greater manchester","north west england"
"halton","north west england"
"hyndburn","north west england"
"knowsley","north west england"
"lancashire","north west england"
"lancashire","north west england"
"lancaster","north west england"
"liverpool","north west england"
"manchester","north west england"
"merseyside","north west england"
"oldham","north west england"
"pendle","north west england"
"preston","north west england"
"ribble valley","north west england"
"rochdale","north west england"
"rossendale","north west england"
"salford","north west england"
"sefton","north west england"
"south lakeland","north west england"
"south ribble","north west england"
"st helens","north west england"
"st. helens","north west england"
"stockport","north west england"
"tameside","north west england"
"trafford","north west england"
"warrington","north west england"
"west lancashire","north west england"
"wigan","north west england"
"wirral","north west england"
"wyre","north west england"
"antrim","northern ireland"
"ards","northern ireland"
"armagh","northern ireland"
"ballymena","northern ireland"
"ballymoney","northern ireland"
"banbridge","northern ireland"
"belfast","northern ireland"
"carrickfergus","northern ireland"
"castlereagh","northern ireland"
"coleraine","northern ireland"
"cookstown","northern ireland"
"county armagh","northern ireland"
"county fermanagh","northern ireland"
"craigavon","northern ireland"
"derry","northern ireland"
"down","northern ireland"
"dungannon","northern ireland"
"fermanagh","northern ireland"
"larne","northern ireland"
"limavady","northern ireland"
"lisburn","northern ireland"
"magherafelt","northern ireland"
"moyle","northern ireland"
"newry and mourne","northern ireland"
"newry and mourne","northern ireland"
"newtownabbey","northern ireland"
"north down","northern ireland"
"omagh","northern ireland"
"south tyrone","northern ireland"
"strabane","northern ireland"
"aberdeen city","scotland"
"aberdeenshire","scotland"
"angus","scotland"
"argyll and bute","scotland"
"argyllshire","scotland"
"ayrshire","scotland"
"banffshire","scotland"
"berwickshire","scotland"
"bute","scotland"
"caithness","scotland"
"city of edinburgh","scotland"
"clackmannanshire","scotland"
"dumfries and galloway","scotland"
"dumfriesshire","scotland"
"dunbartonshire","scotland"
"dundee city","scotland"
"east ayrshire","scotland"
"east dunbartonshire","scotland"
"east lothian","scotland"
"east renfrewshire","scotland"
"edinburgh city","scotland"
"eilean siar","scotland"
"falkirk","scotland"
"fife","scotland"
"glasgow city","scotland"
"highland","scotland"
"inverclyde","scotland"
"inverness-shire","scotland"
"kincardineshire","scotland"
"kinross-shire","scotland"
"kirkcudbrightshire","scotland"
"lanarkshire","scotland"
"midlothian","scotland"
"moray","scotland"
"nairnshire","scotland"
"north ayrshire","scotland"
"north lanarkshire","scotland"
"orkney","scotland"
"orkney islands","scotland"
"peeblesshire","scotland"
"perth and kinross","scotland"
"perthshire","scotland"
"renfrewshire","scotland"
"ross and cromarty","scotland"
"roxburghshire","scotland"
"selkirkshire","scotland"
"shetland islands","scotland"
"south ayrshire","scotland"
"south lanarkshire","scotland"
"south lanarkshire","scotland"
"stirling","scotland"
"stirlingshire","scotland"
"sutherland","scotland"
"the scottish borders","scotland"
"west ayrshire","scotland"
"west dunbartonshire","scotland"
"west lothian","scotland"
"wigtownshire","scotland"
"zetland","scotland"
"adur","south east england"
"arun","south east england"
"ashford","south east england"
"aylesbury vale","south east england"
"basingstoke and deane","south east england"
"berkshire","south east england"
"bracknell forest","south east england"
"brighton and hove","south east england"
"buckinghamshire","south east england"
"buckinghamshire","south east england"
"canterbury","south east england"
"cherwell","south east england"
"chichester","south east england"
"chiltern","south east england"
"crawley","south east england"
"dartford","south east england"
"dover","south east england"
"east hampshire","south east england"
"east sussex","south east england"
"east sussex","south east england"
"eastbourne","south east england"
"eastleigh","south east england"
"elmbridge","south east england"
"epsom and ewell","south east england"
"fareham","south east england"
"gosport","south east england"
"gravesham","south east england"
"guildford","south east england"
"hampshire","south east england"
"hampshire","south east england"
"hart","south east england"
"hastings","south east england"
"havant","south east england"
"horsham","south east england"
"isle of wight","south east england"
"kent","south east england"
"kent","south east england"
"lewes","south east england"
